Dataset,Method,M,SMSE_mean,SMSE_std,MSLL_mean,MSLL_std,TrainTime_mspt_mean,TrainTime_mspt_std
KIN40K,POE,100,0.543562159221317,0.0642294409842474,-0.339435326547815,0.0518939992798956,0.0428849416666667,0.00154783847052376
KIN40K,POE,200,0.329910448124494,0.0207696559065233,-0.615288828813535,0.0264979123965731,0.0503976916666667,0.00211979236458629
KIN40K,POE,300,0.24946401655092,0.0285640600971979,-0.776967594754815,0.0373807925064051,0.0562951583333333,0.000717666871855136
KIN40K,POE,400,0.184934458929715,0.0155871233548447,-0.940102787986759,0.029813663222151,0.0647263333333333,0.00178078971339497
KIN40K,POE,500,0.150110779101477,0.0128960542588354,-1.0560719250671,0.0285890540230885,0.075670725,0.00070103255585957
KIN40K,POE,600,0.12904065417924,0.0072012775200383,-1.14144068036078,0.0153255440639315,0.0810098416666667,0.000494007936634967
KIN40K,POE,700,0.115223053719013,0.00438493845056507,-1.18462542693615,0.029493948343082,0.090147375,0.00324917980929418
KIN40K,POE,800,0.102923090912924,0.00157282965998349,-1.23749615703367,0.0118161429619177,0.0954347583333333,0.000603432428038406
KIN40K,POE,900,0.0925601594732127,0.00338500074927225,-1.28424178212416,0.00588880192254417,0.110202241666667,0.00086410700304322
KIN40K,POE,1000,0.0871434998568793,0.0100057309120973,-1.30834999568638,0.036040342268947,0.123277375,0.00546679899592761
KIN40K,POE,1100,0.082135272363117,0.00376328512437224,-1.31208868854185,0.0381425514046051,0.135415116666667,0.00507969818064599
KIN40K,POE,1200,0.0777329286076605,0.00161268245384284,-1.34185955278568,0.0128016451179918,0.141798225,0.000344771100695796
KIN40K,POE,1300,0.0726827326405904,0.00657578627383443,-1.33335080193745,0.0550573607739978,0.1516533,0.00194930873628962
KIN40K,POE,1400,0.0684052599638363,0.00352658686023608,-1.37760927405377,0.0202239489917789,0.161427075,0.00153887008406331
KIN40K,POE,1500,0.0637832939184781,0.00365041511046148,-1.38477084329082,0.0412090842990167,0.171046108333333,0.00116489377636263
KIN40K,POE,1600,0.0650165719944164,0.00528130478996184,-1.34963617202416,0.0654317230632269,0.181377741666667,0.00351904437324018
KIN40K,POE,1700,0.0579975215507998,0.00175843594396937,-1.35659538137219,0.0529136322658828,0.190403083333333,0.00150400524731742
KIN40K,POE,1800,0.0563945520595298,0.000684560821779726,-1.4029129372634,0.0416230320414653,0.20106,0.00198992694102698
KIN40K,POE,1900,0.0539932739515724,0.00284863479817793,-1.35881782185225,0.035871192152234,0.209276083333333,0.00213001626832601
KIN40K,POE,2000,0.0518182877138596,0.00205183975204918,-1.37135137844841,0.0727325393367064,0.213837966666667,0.00040222150328933
KIN40K,POE,2100,0.050938247137712,0.00245959142374208,-1.35061995486414,0.06557589320223,0.229227366666667,0.00367520089045597
KIN40K,POE,2200,0.0479663329280699,0.00099829495495032,-1.34183586799266,0.0579346350884528,0.221681483333333,0.00512141006226153
KIN40K,POE,2300,0.0465887073787364,0.00234068971398194,-1.30562053415538,0.0836240690669001,0.231660758333333,0.00437980659963524
KIN40K,POE,2400,0.0463234452690778,0.00355738996039879,-1.30549486035976,0.108960945619871,0.244953941666667,0.00296955582540696
KIN40K,POE,2500,0.0446970186949098,0.00314371324272252,-1.32324429102713,0.0624371989640926,0.254858183333333,0.000456092379851198
KIN40K,GPOE,100,0.549673886869399,0.0667126849115964,-0.333565815339784,0.0539193416267008,0.0395855083333333,0.000175726286332843
