Dataset,Method,Level,M,TrainTime_mean_mspt,TrainTime_std_mspt,SMSE_mean,SMSE_std,MSLL_mean,MSLL_std
POL,POE,Medium,1500,0.30500585,0.00247202813293055,0.038084072114395,0.00201281571807106,-1.81316100205389,0.061077394830585
POL,POE,High,2500,0.4968072,0.00165736304354993,0.0291954483611484,0.00138351994918528,-1.82208618689955,0.0189126197996258
POL,GPOE,Low,500,0.137131716666667,0.00148748013292053,0.0768922845631323,0.00456814789104547,-1.62881503666278,0.00503850352149653
POL,GPOE,Medium,1500,0.312498508333333,0.00273903348171548,0.0366918329732146,0.00194260534188482,-1.84222955139041,0.062633341383106
POL,GPOE,High,2500,0.500142433333333,0.00219418737040803,0.0279824905856029,0.00106790146290966,-1.85988603489134,0.0109340900103205
POL,MOE,Low,500,0.129588375,0.00220817538493322,0.0935391729070382,0.0057461903902946,-1.43871764914473,0.0574506681334827
POL,MOE,Medium,1500,0.286591791666667,0.00275907250010455,0.0624432548205036,0.00381844059719051,-1.27538817378966,0.0941559624229639
POL,MOE,High,2500,0.467292375,0.00268787571013341,0.0557178020638155,0.00398471357332699,-0.985088116953711,0.142991129214169
POL,BCM,Low,500,0.135845608333333,0.00119262050028848,0.0748386370348244,0.00439584872113349,-1.60733776529052,0.0111615022957367
POL,BCM,Medium,1500,0.306402141666667,0.0039621799631274,0.0359942407262113,0.00183743802330631,-1.78395488670935,0.0493211648126277
POL,BCM,High,2500,0.492147933333333,0.0034818976831368,0.0274903583717512,0.000926155497870959,-1.78660281703499,0.0243501049875165
POL,RBCM,Low,500,0.1372714,0.00138756469916721,0.0759037757238158,0.00446563705761891,-1.60572352453262,0.00543420984585213
POL,RBCM,Medium,1500,0.309715391666667,0.00250969276759294,0.0362922043896154,0.00179520673800872,-1.80351314337996,0.0551060404121002
POL,RBCM,High,2500,0.49786335,0.00375696296594735,0.0277070918683043,0.000926387531680456,-1.81239174402347,0.0279639239072351
PUMADYN32NM,POE,Low,500,0.14128418788513,0.00359890635007955,0.0471770156791681,0.000518850953199587,-1.52025847324736,0.00580815674900984
PUMADYN32NM,POE,Medium,1500,0.36182481106848,0.00798118620722821,0.0471223321334068,0.00050582784790989,-1.52094269738186,0.00570557502644729
PUMADYN32NM,POE,High,2500,0.630728822229973,0.0023331089066519,0.0471420239492645,0.000502796386109472,-1.52069630487979,0.00561924076734774
PUMADYN32NM,GPOE,Low,500,0.143621823043832,0.00447885866014252,0.0471779136123655,0.000520070959084204,-1.52024723791951,0.0058210963051297
PUMADYN32NM,GPOE,Medium,1500,0.374285827229392,0.00221767105133107,0.0471167770349799,0.000505193809540284,-1.52101220517182,0.00570217422642318
PUMADYN32NM,GPOE,High,2500,0.640594465759795,0.0018646243128107,0.0471392824180602,0.000502039192981597,-1.52073060810189,0.00560835803799159
PUMADYN32NM,MOE,Low,500,0.140452296244623,0.00601396397504426,0.0471695483095982,0.000508834288016953,-1.5203519081995,0.00570138189903713
PUMADYN32NM,MOE,Medium,1500,0.35186414370422,0.00104397438369113,0.0471650331538069,0.000508756709248469,-1.52040840377821,0.00570779309796377
PUMADYN32NM,MOE,High,2500,0.615916335309848,0.0018689086670749,0.0471650017027224,0.000508746234238335,-1.52040879730775,0.00570761469663259
PUMADYN32NM,BCM,Low,500,0.142776863155447,0.00391110009350235,0.047169497062484,0.000518487542893163,-1.52035254942552,0.0058079756062949
PUMADYN32NM,BCM,Medium,1500,0.363566759679107,0.00315476122237818,0.0471143596605987,0.000504830785607899,-1.52104245240379,0.0056988128295661
PUMADYN32NM,BCM,High,2500,0.632497267759563,0.00339953645389333,0.0471341238355872,0.000501656258122705,-1.52079515451304,0.00560982972788167
PUMADYN32NM,RBCM,Low,500,0.145479083827462,0.00372936568652224,0.047169414884598,0.000519647431735656,-1.52035357767071,0.00582076747344796
PUMADYN32NM,RBCM,Medium,1500,0.375309859318684,0.00568817995502331,0.0471078383297232,0.000504122383576512,-1.52112405011133,0.00569527674862353
PUMADYN32NM,RBCM,High,2500,0.637972328798977,0.00391882681348872,0.0471303888811913,0.000500774278308283,-1.52084188787503,0.00559808159913174
SARCOS,POE,Low,500,1.58034472106703,0.00160147696168836,0.0259076048175578,0.00036638468757141,-1.60117476576584,0.0188667424288707
SARCOS,POE,Medium,1500,1.72727693979244,0.00277045950321041,0.0223296185349008,0.000333459625955208,-1.71674087177928,0.021793167470497
SARCOS,POE,High,2500,1.9403533756697,0.00135050389739487,0.0220408849009347,0.000329545636538331,-1.72924044804425,0.0226709048965829
SARCOS,GPOE,Low,500,1.58171505751002,0.010535247888905,0.025906658029187,0.000367126913651615,-1.60120981430467,0.0188734886527571
SARCOS,GPOE,Medium,1500,1.72492531190289,0.000514299977233255,0.0223256454100924,0.000333206047996883,-1.71693446041369,0.0217860096670284
SARCOS,GPOE,High,2500,1.9623468228991,0.0118733446357682,0.0220301996803329,0.000331463379723687,-1.729746932295,0.0227584381695942
SARCOS,MOE,Low,500,1.57067383762317,0.00210146954309579,0.0259164916274752,0.000361317248736797,-1.60084661307591,0.0187623564546788
SARCOS,MOE,Medium,1500,1.71544321868795,0.00330726189964386,0.0223626480755862,0.000334390986332485,-1.71515003449847,0.021788872926169
SARCOS,MOE,High,2500,1.92596742160279,0.00113255008786715,0.0221199203501157,0.000315999284756366,-1.72549300529376,0.0219917085603111
SARCOS,BCM,Low,500,1.57800288674085,0.00860797925148892,0.0258724950982211,0.000359765139523103,-1.60256197944468,0.018700494085751
SARCOS,BCM,Medium,1500,1.72979963658162,0.0070602600531874,0.0223105328987122,0.000325350861945314,-1.71764640193858,0.0216028084456372
SARCOS,BCM,High,2500,1.94389832340489,0.0122325608033352,0.0220220995442406,0.000322836560241894,-1.73013793545882,0.0225073504087447
SARCOS,RBCM,Low,500,1.5731518770372,0.000926209417804536,0.0258680056131777,0.000359654997720819,-1.60273087689494,0.0186862290335134
SARCOS,RBCM,Medium,1500,1.72909836836387,0.0071222278223852,0.0223052110429052,0.000324120462927944,-1.71790384037787,0.021574492953907
SARCOS,RBCM,High,2500,1.94381716870855,0.000429598635693779,0.022010237397201,0.000324064368203796,-1.73070120049832,0.0225755083239451
